"",mz,mzmin,mzmax,rt,rtmin,rtmax,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,QC_001,QC_003,QC_005,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157,isotopes,adduct,pcgroup
"1876",303.936023913219,303.874714869366,303.936454951778,82.6482938418165,81.63682360679,86.0841675209522,,,,,,,509284.364010353,118183.436722307,102363.455609806,372969.693865579,172653.025,558717.600485249,594179.236062571,608579.839625626,1008237.6662274,"","",444
"1877",304.144522566932,304.144289765544,304.145712329645,152.693735290703,151.997882156792,153.317689346887,136553.191445535,386807.090522223,406568.979653436,679800.206797826,256083.420966725,533569.551138001,,,,730370.923673999,438828.661062317,464768.151586911,482407.337001332,275626.45883129,543871.064626362,"","",788
"1878",304.162010220793,304.161960181482,304.162466028762,163.333152318193,162.266118596307,164.387740382213,29491.6276609042,793543.301892032,14717.0276033093,17253.2505615055,98601.1971225807,32522.2839601294,189431.768354604,78841.0616426827,153994.911085344,371392.362309178,488828.02170125,1358461.53635683,896019.864208801,962098.625545947,3174934.30837837,"","",858
"1879",304.149144790667,304.149136406078,304.149505347491,144.602691701766,144.538258172308,144.675347113433,12235.526375676,,,,26127.2504813929,32693.3640850062,4319167.80496499,5254290.27506,5061106.31587249,,294205.313015126,117255.177660232,162889.893276178,27516.5621852976,,"","",1926
"1880",304.212549118163,304.211990421965,304.213493168163,114.42475422909,112.707639292225,116.590362788849,16030.1901507909,55536.8484070313,462068.071427368,539357.79109358,21728.2654331392,73049.462116192,385418.888378999,515224.360382824,537904.892637,302080.430999538,259171.590872728,762849.957572309,322291.922255333,862610.923531666,1829189.77128183,"","",1080
"1881",304.268303775037,304.235412812021,304.301049337842,24.3620267576469,23.5049527368109,25.6486651934331,,,,,203893.964560421,,635564.60796664,606599.228138559,176940.098311846,,,,82582.1191557818,149859.417648,,"",[M+H-C6H10O4]+ 449.318,33
"1882",304.191521761312,304.191486964976,304.19153745415,144.538258172308,144.340629768251,144.940452972608,113171.398075648,,,,52604.949019129,44406.0059204884,9598523.49676201,6479198.14087981,5925562.07472074,,39089.6072897783,66249.5698116878,47759.1478151593,304447.325605574,703407.856216684,"","",1927
"1883",304.654159616474,304.653633322718,304.691015440537,149.141982269713,143.611324237595,151.767311720125,2549788.39932266,2980247.51220525,3576248.55212874,2944655.93463571,2994883.77282092,3066319.35423158,34029136.922564,28386444.8692464,13402395.1682437,3601335.00705766,3362346.14045099,3314516.87164313,3191033.76020765,4587252.10976585,4225225.29684162,"",[M+K+NH3]+ 248.671,1
"1884",304.74331294652,304.742937325377,304.743646119875,72.9919357662709,71.9315540915939,73.5254856778877,26583.4470563611,108487.20742762,19344.7669176214,,44337.600436119,36046.8999593673,19572300.4019861,19978925.7347325,19756554.2014247,1310046.679599,1048610.23635669,1137589.928334,1264081.5300624,1460511.22225138,1385242.74992423,"","",20
"1885",304.895023914956,304.89453192992,304.89579901428,112.880322035751,110.204964534591,117.760251737694,28084801.1262492,33193824.8282778,33356020.607901,32806801.8203282,33161722.9030236,31436742.2727477,19322306.0862864,23189942.6769746,24804796.7913185,17858977.274025,15191205.9240739,15045826.0950512,12441230.4312175,28068979.6101127,25812369.1785646,"","",1055
"1886",304.98563056356,304.894770394611,305.023733739796,102.955969055532,93.2558432130274,105.334652473046,,423294.880644923,517328.0906364,387602.869907478,385442.083311666,373386.992121001,737233.447360421,7492872.89279166,5893191.803271,538188.153950117,574464.096803571,294093.2720154,564379.618500273,8217.25491054286,7706645.42799133,"","",1694
"1887",304.956531986164,304.956480562391,304.956573802272,86.8744842182004,86.3328216132794,87.4822422744855,,,,,,,4088002.046934,3596450.7546702,2915730.98189689,395869.239279499,50237.5412358209,202626.790884,481267.552968001,131074.270830265,301863.322311818,"",[M+K+HCOOH]+ 219.982 [M+Na+HCOOH]+ 235.956 [M+H+HCOOH]+ 257.938 [M+K]+ 265.995,22
"1888",304.965672333209,304.922378370675,305.008805254252,35.6920980310193,35.0311268986959,36.6570830584735,,,,,,,171262.653343059,85534.5582138463,86494.7526089399,,,,,,,"","",2385
"1889",305.157409120031,305.085880961085,305.158820686599,57.9663684878752,56.5141989717642,58.5536218507401,5632735.16639392,3814919.45914755,4565606.93741054,3238231.9644112,4242450.13294301,3875661.35503071,56425039.2225203,54938044.2401842,51659535.2244,3288168.43792438,3002238.27900658,3345525.77402277,3824643.24154219,5186026.2103348,5614372.07338572,[139][M]+,[2M+Na+K-H]+ 122.112,26
"1890",304.986064813342,304.985181738909,305.108910164054,110.143321572196,109.59529730281,114.147138572636,70098.4265968588,41448.429290277,227700.264144084,237034.955224,187996.669709538,130900.446463002,236256.659586223,118094.595271409,163531.714049629,315096.206524616,401969.138499999,421333.6125492,218022.349866858,340270.556642823,439321.917398,"","",1553
"1891",305.152263703802,305.145996636609,305.192765636833,148.71934141482,139.485727024101,150.698124287787,2735595.97132827,2779484.71186285,3138300.38464773,152533.010997568,3384673.53733733,2817040.97553966,8161491.78087311,2740757.98094091,2166136.155296,4187099.37834568,4119997.41420253,3078604.03493354,3200732.50310965,4567378.81815125,3756886.65906708,"",[M+K+NH3]+ 249.17,1
"1892",305.663214056449,305.663085663198,305.66353924807,143.877939822439,143.746463913583,144.07839657766,,,15136.7678715952,,,,1756593.65551561,3233478.9576288,3628172.70378337,,,,,11779.4067188715,,"","",1928
"1893",305.899886915579,305.89987054991,305.900595464549,200.731787124032,199.031681067934,205.329226311437,9137615.12915181,8236794.15761918,6788986.0060023,,8200558.63671588,14894934.2793239,294235.635626734,559221.409925977,816011.68564695,23105754.6441242,28246776.8599495,12193035.017328,21928137.1206631,8652028.01717915,5862676.70103574,"","",1019
"1894",306.161291400084,306.089523749727,306.162009815408,57.903210980284,56.2594686604701,58.5536218507401,567565.038651273,426915.024862869,476541.134555217,308796.152009367,481721.6989908,356449.60987704,7342922.15246877,7014924.6912684,6747695.0262,317277.486453885,306266.55737652,314704.374022232,373535.5050861,510047.3999643,616720.927023317,[139][M+1]+,"",26
"1895",306.152675082523,306.152091587961,306.153428463516,149.141982269713,148.923826735662,149.841813514084,10806610.0812405,13095373.2347931,14399927.65098,15577685.636238,14945901.2995294,14688409.8057342,,240288.433103967,461233.503916686,26277698.2057767,26896637.4409709,23488214.6495682,26460789.0447619,16704483.9302264,20270306.4324907,[140][M]2+,"",1
